"","title","movieInfo","point","review"
"39","577 프로젝트","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=91391&target=after","8","승하왜저램?욕하고ㅠㅠ "
"40","경계선","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=175045&target=after","10","이거보니까 웰컴투 비디오 손정우 생각나네 진자 두개골 박살내고 싶은 대리만족 으로 10점준다. "
"41","죽지않는 인간들의 밤","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=183854&target=after","8","ㅈㄴ 웃겨 양동구리구리ㅋㅋ "
"42","더 이퀄라이저","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=109642&target=after","10","나에겐 인생영화. 앞으로 40-50년을 살아갈 나에게 어떻게 살아갈지 방향성을 제시해 주었다. 올바른 일을 하며 하루하루 최선을 다해 살아내며 그 속에서 나를 필요로 하는 부분에서 보람과 행복을 느끼며 그렇게 살아갈 것. 번외로 악당이 미친듯이 섹시함ㅋ 슈트입은 악당 중에 내기준 제일 섹시했음 "
"43","더블패티","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196361&target=after","8","배주현은 가수 보다 배우를 하는 것이 나은 것 같다 ! "
"44","타임 패러독스","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=118347&target=after","6","시작하자마자 복선 반전 다 너무 표나서.. 좀 아쉬웠네요 시간 여행 관련 영화를 너무 많이 봐서 그런지 너무 쉽게 반전을 알아차려버려서 재미 하나도 없이 봤네요 아쉽 "
"45","음양사 : 청아집","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=202353&target=after","10","넷플에서 뭐볼까하다 별생각없이 봤는데  어쩔 남주들 멋짐이 보통이 넘어? 와~  검은옷 진짜 잘생겼다 이러면서 봤어요  등륜 입덕해서 향밀보고 있다능 완전 한국 배우같이 생겨서는 왜 중국배우야ㅜㅜ 저 비주얼에 저 연기력은 사기지ㅜㅜ 2편도 넷플에서 보면 좋겠어요 "
"46","소울","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184517&target=after","6","킬링타임용으로 좋아요 "
"47","빅풋 주니어2: 패밀리가 떴다","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=194648&target=after","10","올레에서 vip 존에서 무료라서 별 기대없이 봤는데 기대이상으로 스토리 탄탄하고 작화도 훌륭한 영화입니다. "
"48","기억을 만나다","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=167655&target=after","10","김정현배우님 서예지배우님 두분 다 너무 연기 잘하셔서 너무 재미있게 봤습니다^^ "
"49","소울","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184517&target=after","10","너무재밌고감동적이에요 "
"50","그랜 토리노","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=51462&target=after","10","다 죽여버리고 끝냈어야지!!아우! "
"51","디지몬 어드벤처 라스트 에볼루션 : 인연","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=192613&target=after","10","명대사 ""exactly"" 모든것은 여기서 시작된다. "
"52","소울","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184517&target=after","10","영화를 보다가 가끔 이해가 안 되는 부분도 있었지만 어떻게 이런 아이디어를 냈지? 하는 생각이 든다. 역시 디즈니랑 픽사가 합쳐져서 재미도 x2 인 것 같다. 죽으면 이런 세상이 있을 것 같다, 뱃지를 모으면 지구에 내려가 태어 날 수 있다, 등등... 내가 본 인생 영화 중에서는 정말 영상미도 있고, 스토리 뿐만 아니라 제일 중요 한 '생각'도 Excellent 했다. 말로 표현 할 수 없는 최고에 평점을 주고 싶다. ps. 인생을 멋지게, 후회하지 않고 자신이 아주 만족하게 살아야 한다는 것을 늘 잊지 않을 것이다. 남들이 뭐라 하든, 나는 나대로 살아 가야 한다는 것을 말이다. 또 남들이 억지로 시키는 일은 없애고 내가 진정으로 하고 싶은 불꽃을 찾을 것이다. 나는 왜 태어났는지, 나는 이 세상에 필요 한지라는 생각이 가끔 들긴 하지만 이 영화를 보고 모든 것을 알게 되었다. "
"53","헌트","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=192146&target=after","10","사실 진실은 관심도 없는거지? "
"54","헌트","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=192146&target=after","10","굿 짱깨는 지구의 악성신생물 "
"55","시티 오브 조이","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=11964&target=after","10","이런 영화를 왜 이제 봤나 싶어요.인도여행을 다녀온 적이 있어서 그런지그날들의 모습들이 겹쳐지더군요, 영화의 배경이 되는 시대와 꽤 많은 시간차가 있지만 많이 다르지 않았거든요. 인력거꾼의 힘든 모습 속에서 가장의 희생을 가슴 속에 새겼습니다. "
"56","더블패티","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196361&target=after","10","배주현님 연기를 볼 수 있어서 좋았고 기대이상이였어요. "
"57","몬스터 헌터","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=190011&target=after","2","흠..왕좌의 게임 용도 아니고..왔다갔다하는 이유도 없고 서로 다른 세계가 어울리지도 않고 중국 영화인지 미국 영화인지ㅎㅎ  캐릭터들이 서로 전혀 안어울리고! 게임 원작이라는데 그 겜하는 사람들은 과연 좋아하나? 좋아할까?? "
"58","은지: 돌이킬 수 없는 그녀","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=187637&target=after","10","연기도 연출도 최고였습니다. 긴장감도 느껴지고 스토리도 탄탄하네요. "
"59","디파티드","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=41672&target=after","7","어렸을때 애들이랑 놀이터에서 술래잡기 열심히 하다가도 꼭 누구 한명 밥먹으러 집 가면 나머지 애들도 우르르 집 갔는데 이 영화 결말이 딱 그거임 "
"60","차우","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=45921&target=after","10","넘 재밌슴가끔봐도 웃겨!!몇번을 봤는지... "
"61","에놀라 홈즈","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196389&target=after","10","세상의 발전은 희생없이 이루어지지 않는다.지금 우리가 누리고 있는 모든 것들은 누군가의 피땀.재미있게 본 영화이다 "
"62","죽지않는 인간들의 밤","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=183854&target=after","10","시실리 처럼 엄청 재밌던데요~ㅋㅋㅋ내 취향~~~ "
"63","스타워즈: 라스트 제다이","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=125488&target=after","1","스타워즈의 이야기를 개박살낸 쓰레기 그 자체 "
"64","컨트롤러","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=74303&target=after","10","드라마 도깨비 문열고 나가면 다른 세상 나오는거 이거 따라란 것 같은데?? "
"65","메기","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=179398&target=after","10","이런 스타일의 영화.무진장 목 말랐어요.이런 영화 많이 만들어주세요.허리우드 흉내내는 영화 그만 보고 싶어요. "
"66","핵소 고지","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=142305&target=after","10","양심이란건 데스몬드한테 어울리는 단어다. 군대가기 싫다면서 말하는 양심적 병역거부의 양심적은 현실도피라고 해야한다 "
"67","모래성","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=14013&target=after","1","이이이니니니지니지니미ㅣ "
"68","고질라: 킹 오브 몬스터","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=137327&target=after","6","울트라맨들도 등장시켜보지그랬냐 "
"69","더블패티","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196361&target=after","10","영화 보기 전 반복되고 계획 없는 현실에 겁이 났는데 청춘들이 역경을 딛고 판을 뒤집어보자라고 이야기하신 감독님의 코멘트가 마음에 들었다. 이 말마따나 영화에서 우람 역과 현지 역은 힘든 일에도 서로에게 힘이 되어주며 꿈을 향해 나아간다. 포기하지 않고 꿈을 향해 달려가며 그려가는 과정들이 필자에게는 힘이 되고 잘 와닿았다. 여기에는 많은 배우들이 진실된 청춘들의 모습을 잘 그려낸 부분이 큰 몫을 하는 거 같다. 엔딩 크레딧에 나오는 ost 흰 밤은 더 따뜻하게 다가오는 기분이다. 청춘들이 한 번 쯤 지쳐서 쉬고 있을 때 이 영화를 본다면 많은 힘이 되어 줄 거 같다. "
"70","삼진그룹 영어토익반","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189141&target=after","10","진짜 재밌어요 주인공 셋이 케미가 진짜 최고 "
"71","극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196051&target=after","10","귀살대 들어갈사람?? "
"72","극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196051&target=after","10","극장가서보길 잘했네요 저는좋았어요 "
"73","극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196051&target=after","10",""
"74","해바라기","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=44529&target=after","10","쵝오...남자라면 남자다운 영화를 봐야죠..반항하던 시절을 후회하면서 다짐과 다짐으로 새로운 삶을 위해 노력하지만, 어쩔 수 없이 깨지는 사건과 사고...누구든지 탐욕으로 타인을 악인으로 만들지 않길 바라는 영화...남자사람이라면 세대초월 한번이 아닌 여러번 보면서 정도를 아는 것도 나쁘지 않은 교훈적인 영화..나는 남녀를 구분없이 인생영화라 생각함.. "
"75","퍼펙트 케어","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196533&target=after","10","주인공보고 안죽나 부글부글 한건 인생처음 "
"76","극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196051&target=after","2","다음이랑 평판이 극과극이네 어쩜 이렇게 다를 수 있지? 바이럴 작업한건가? "
"77","미션 파서블","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189124&target=after","4","취미로 연출하는 놈들의 입봉작에 희생당한 배우들이 불쌍하다. 굳이 본인들의 커리어에 똥칠할 필요가 있을까? "
"78","시동","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=183876&target=after","10","나 이거보기전까지 마동석 그냥 캐릭터빨인지 알았잖아.아니야 연기파야.잠자는 씬에서 빵터짐ㅋㅋㅋ마동석 응원합니다.이거 본뒤로 다른 영화도 봤는데 연기파맞아. "
"79","승리호","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=186342&target=after","4","영화 ""승리호"" 배우들이  인터뷰할때 이미 영화에 대해서 알려줬던걸 기억했어야 했던건데....인터뷰 당시송중기 : 잘자요~ ( 영화 시작할때)유해진 : 일어나요 ~  ( 영화 끝날때 ) "
"80","컨트롤러","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=74303&target=after","10",""
"81","비포 미드나잇","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=102309&target=after","9","비포선라이즈와 비포선셋과 달리 아주 현실적이어서 안타까운 마음도 있었지만 이 세상 대부분의 로맨스의 현실이 저렇지않을까 생각한다. 개인적인 느낌으로는 비포선라이즈, 비포선셋이 훨씬 재밌었지만 비포미드나잇을 봄으로써 스토리의 현실적 결말이 매듭지어진 느낌이다. "
"82","승리호","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=186342&target=after","10","존잼이네 나는 외국영화보는줄 쥐리고 렛이고 거기에 반전 까지잇음 너무쌔서 당황햇다 ㅋㅋㅋㅋ 유해진배우를 응원합니다 ㅎ 하나더하자면 아가가 너무귀여움 ㅎㅎㅎ "
"83","씽","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=144938&target=after","10","일단노래가 엄청 좋구요 어른도재밌게볼수 있습니다 "
"84","한니발","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=29848&target=after","8","쥴리안 무어가 당시만 해도 매력적이였는데 .. "
"85","퍼펙트 케어","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196533&target=after","10","초반부가 몰입도가 높았어요 그냥 재밌게봤어요 "
"86","소울","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184517&target=after","10","역시 어른이 보는 애니메이션이네요....  스토리 감명깊게 봤습니다 "
